"Be your own boss",1
"Brand new pager",1
"Casino",1
"Compete for your business",1
"Congratulations",1
"Credit card offers",1
"Home employment",1
"Home-based business",1
"Legal",1
"Legal notice",1
"Marketing solutions",1
"Meet singles",1
"Meet women",1
"Miracle",1
"Month trial offer",1
"Mortgage",1
"New domain extensions",1
"Obligation",1
"Order shipped by",1
"Order status",1
"Orders shipped by the shopper",1
"Passwords",1
"Purchase",1
"Removal",1
"Removes wrinkles",1
"Reverses aging",1
"Rolex",1
"Round the world",1
"Score with babes",1
"Section 301",1
"Shopping spree",1
"Social security number",1
"Terms and conditions",1
"University diplomas",1
"Valium",1
"Viagra",1
"VIP",1
"What's keeping you?",1
"Accept credit cards",1
"Additional income",1
"Avoid bankruptcy",1
"Beneficiary",1
"Billing",1
"Billing address",1
"BONUS",1
"Bonus credited",1
"Buying judgments",1
"Cash bonus",1
"Cashcashcash",1
"Cashless",1
"Check credited",1
"Consolidate debt",1
"Consolidate debt and credit",1
"Cost",1
"Credit",1
"Eliminate bad credit",1
"Eliminate debt",1
"Income from home",1
"Investment decision",1
"Low insurance premium",1
"Low mortgage rates",1
"Lower interest rate",1
"Lower monthly payment",1
"Lower rates",1
"Lower your mortgage rate",1
"Lowest insurance rates",1
"Million dollars",1
"Outstanding amount",1
"Outstanding values",1
"Pennies a day",1
"Stock alert",1
"Stock disclaimer statement",1
"Stock pick",1
"Unsecured credit",1
"Unsecured debt",1
"Unsolicited",1
"XXX amount credited",1
"XXX$ credited",1
"Affordable",1
"Auto email removal",1
"Bargain",1
"Cheap",1
"Claims",1
"Claims not to be selling anything",1
"Claims to be in accordance with some spam law",1
"Claims to be legal",1
"Clearance",1
"Compare rates",1
"Confidential",1
"Confidentially on all orders",1
"Deal breaker",1
"Dig up dirt on friends",1
"Don't delete",1
"Don't hesitate",1
"Easy terms",1
"Explode your business",1
"Fast cash",1
"Free access",1
"Hidden assets",1
"Hidden charges",1
"Info you requested",1
"Information you requested",1
"Join millions",1
"Junk",1
"Loan approved",1
"Loans",1
"Mass email",1
"Never before",1
"New customers only",1
"No extra cost",1
"No hidden costs",1
"No interests",1
"No medical exams",1
"No middleman",1
"No risk",1
"No strings attached",1
"Not intended",1
"Not junk",1
"Not spam",1
"Open this email!",1
"Please read",1
"Priority mail",1
"Prize",1
"Profits",1
"Promise",1
"Pure profits",1
"Requires initial investment",1
"Risk-free",1
"Save big money",1
"Sent in compliance",1
"Special discount",1
"Special promotion",1
"Strong buy",1
"This isn't a scam",1
"This isn't junk",1
"This isn't spam",1
"This won't last",1
"Undisclosed",1
"Undisclosed recipient",1
"We hate spam",1
"We honor all",1
"100% money back",1
"Best bargain",1
"Best offer",1
"Best price",1
"Big bucks",1
"Double your leads",1
"Double your cash",1
"Double your income",1
"Double your wealth",1
"Earn extra profit",1
"Earn $",1
"Earn extra cash",1
"Earn money",1
"Earn per week",1
"Extra cash",1
"Extra income",1
"Extract email",1
"F r e e",1
"For just X$",1
"For only XXX amount",1
"Free bonus",1
"Free cell phone",1
"Free consultation",1
"Free DVD",1
"Free gift",1
"Free grant money",1
"Free hosting",1
"Free info",1
"Free information",1
"Free installation",1
"Free instant",1
"Free investment",1
"Free iPhone",1
"Free leads",1
"Free membership",1
"Free money",1
"Free preview",1
"Free quote",1
"Free sample",1
"Free trial",1
"Full REFUND",1
"Guaranteed deposit",1
"Guaranteed income",1
"Guaranteed payment",1
"Huge discount",1
"Incredible deal",1
"Instant earnings",1
"Instant income",1
"Instant offers",1
"JACKPOT",1
"Lose weight",1
"Lose weight instantly",1
"Lowest price",1
"Lowest price ever",1
"Money back",1
"Money making",1
"Money-back guarantee",1
"Potential earnings",1
"Recover your debt",1
"Recover your debt instantly",1
"Satisfaction guaranteed",1
"Save $",1
"Save Big Money",1
"Serious cash",1
"Subject to cash",1
"They keep your Money — no refund!",1
"Unlimited",1
"Work at home",1
"Work from home",1
"You are a winner!",1
"You have been chosen",1
"You have been selected",1
"You will not believe your eyes",1
"Zero chance",1
"Zero percent",1
"Zero risk",1
"Access for free",1
"Access now",1
"Access right away",1
"Act immediately",1
"Act now",1
"Action required",1
"Apply NOW",1
"Apply Online",1
"At no cost",1
"Buy Now",1
"Buy direct",1
"Cancel at any time",1
"Cancel now",1
"Cancellation required",1
"Claim your discount NOW!",1
"Claim your prize",1
"Click below",1
"Click here",1
"Exclusive deal",1
"Exclusive discount",1
"Exclusive offer",1
"Expiring soon",1
"For instant access",1
"Get it now",1
"Get out of debt",1
"Get out of debt NOW",1
"Get started now",1
"Hurry up",1
"Important information regarding",1
"Instant weight loss",1
"Limited time",1
"Limited time deal",1
"Make $",1
"Make Money",1
"Now only",1
"Offer expires in X days",1
"Once in a lifetime deal",1
"Once in a lifetime opportunity",1
"Once in lifetime",1
"Online biz opportunity",1
"Only for today",1
"Save up to",1
"Sign up free today",1
"Stuff on sale",1
"Supplies are limited",1
"Take action now",1
"Time-limited",1
"Urgent",1
"Vacation offers",1
"Weight loss",1
"While in stock",1
"While you sleep",1
"#1",1
"$$$",1
"0%",1
"0% risk",1
